CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IMPUTED
36047014902,Kings,Brooklyn,3656,1730,1927,21.7,62.0,4.3,0.0,7.3,2738,94907.56585431194,True
36047017500,Kings,Brooklyn,2986,1466,1520,24.7,48.7,2.8,0.2,19.8,1850,71770.83393634945,True
36047031401,Kings,Brooklyn,3407,1662,1745,8.7,41.2,0.5,0.0,48.4,2052,54423.19354691386,True
36047031402,Kings,Brooklyn,4420,2001,2420,21.7,23.6,30.2,0.5,23.1,2873,31604.71070785515,True
36047033701,Kings,Brooklyn,3933,1997,1935,7.6,34.6,52.6,0.0,2.2,2263,45097.889298372866,True
36047033702,Kings,Brooklyn,3924,2021,1902,7.3,49.9,38.9,0.0,2.4,2242,48496.89637690297,True
36047034901,Kings,Brooklyn,3793,1604,2189,13.6,2.0,83.6,0.0,0.6,2336,29266.67820392774,True
36047034902,Kings,Brooklyn,4828,2129,2699,10.8,4.9,82.8,0.0,0.5,2894,34916.64653251811,True
36047035101,Kings,Brooklyn,3395,1477,1918,11.3,4.7,81.2,0.0,2.0,2025,32266.041907044473,True
36047035102,Kings,Brooklyn,3979,1720,2259,10.0,9.5,78.5,0.0,0.8,2435,36392.17727597102,True
36047035301,Kings,Brooklyn,3813,1630,2184,15.4,5.0,75.2,0.3,3.0,2275,31179.528207202427,True
36047035302,Kings,Brooklyn,3755,1652,2102,8.6,20.7,67.8,0.0,1.6,2257,42257.002841213056,True
36047035701,Kings,Brooklyn,3990,1749,2241,15.5,1.1,82.4,0.0,0.8,2489,28605.479412572713,True
36047035702,Kings,Brooklyn,4360,1905,2455,8.6,1.7,87.7,0.4,0.6,2527,31075.686416602726,True
36047040700,Kings,Brooklyn,2454,1164,1291,51.1,5.1,38.6,0.1,3.2,1489,38122.27922732875,True
36047044901,Kings,Brooklyn,3229,1529,1699,19.0,69.9,2.8,0.0,5.8,2532,78119.52666990913,True
36047049301,Kings,Brooklyn,3173,1557,1616,32.3,53.3,3.2,0.3,8.7,2364,60834.512871701794,True
36047049302,Kings,Brooklyn,4315,2142,2174,49.5,22.6,14.0,0.4,12.9,3157,40785.49212886122,True
36047050002,Kings,Brooklyn,4552,2188,2365,17.1,44.0,6.1,0.0,27.4,2800,55521.720780591015,True
36047050402,Kings,Brooklyn,4810,2320,2489,18.7,39.0,20.7,0.1,18.3,2829,54600.78198706791,True
36047053101,Kings,Brooklyn,5523,2986,2537,5.9,91.0,2.0,0.0,0.7,2405,28167.524541223473,True
36047053102,Kings,Brooklyn,5568,2843,2725,24.3,63.2,11.3,0.0,0.6,2584,26574.11863791629,True
36047056301,Kings,Brooklyn,3286,1607,1679,10.6,78.2,2.0,0.2,5.0,2397,78028.80158239469,True
36047058901,Kings,Brooklyn,3060,1453,1607,9.6,82.4,2.7,0.3,3.0,2351,69894.83723597864,True
36047058902,Kings,Brooklyn,2797,1338,1460,12.3,80.6,2.0,0.2,2.8,2165,71090.56363754773,True
36047059403,Kings,Brooklyn,3944,1864,2081,6.2,61.5,0.8,0.0,29.5,2725,59603.86848237316,True
36047059404,Kings,Brooklyn,4700,2281,2419,4.7,75.7,2.5,0.0,16.7,3400,59916.732159197316,True
36047070203,Queens,Queens,3267,1653,1614,6.3,88.2,1.7,0.2,3.1,2471,96699.53359096542,True
36047078601,Kings,Brooklyn,3123,1459,1664,6.8,16.3,66.5,0.0,7.9,1841,62712.30861584837,True
