LocationID,pickup_count,dropoff_count,total_count,latitude,longitude
253,15,53,68,40.86296377,-73.85800754
254,247,652,899,40.71478,-73.95276
255,1670,9772,11442,40.7082,-73.9571
256,1308,8560,9868,40.6539,-73.9757
257,94,1669,1763,40.6901,-73.8566
258,116,933,1049,40.8956,-73.8627
259,130,484,614,40.7533,-73.9069
260,811,2831,3642,40.7118,-74.0131
261,19717,18412,38129,40.76955898,-73.9413803
262,51602,58385,109987,40.7712,-73.9495
263,72321,78473,150794,40.75270617813688,-116.6554364
264,35824,38807,74631,40.75270617813688,-74.07340960026514
265,3037,16442,19479,,
