base_year,cd,geo_name,geo_level,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1975,105,Midtown,cd,100.0,103.37264129012182,105.91329122289852,145.0358830258155,173.92287099070245,301.8709155267404,297.45439502339326,314.0083535967796,272.1736536629878,422.7187533012304,451.592685054416,439.9026880962402,445.9649198871457,497.6553885715917,509.6991812001384,476.4023191555852,447.9229053887231,384.7709001522501,413.6531267595816,402.0965985626271,418.8148690457472,440.65573621948187,469.3347313036416,518.1969167678251,577.1862020715897,718.0129153891131,821.7300684506467,870.8283490885132,920.5509123413794,1113.1070700775683,1316.2545967894891,1516.3475493904791,1579.2047561956283,1662.9183643000222,1442.882388493463,1464.80130339328,1550.340734579332,1608.420155524162,1809.5594911392136,2015.1103170713288,2073.6817351074064,2046.1208896538064,1997.497852150662,1967.0253787204915,1890.8922602240616,1747.4744933451937,1765.5663283133945,1857.3391637532995,1820.587763297039,2117.80132649897,2162.6044939156272,2207.4076613322845,2252.2108287489414,2297.1367445694805,2341.9399119861373,2386.7430794027946
1975,106,Stuyvesant Town/Turtle Bay,cd,100.0,125.92436765841452,124.14796878440616,151.7545988789837,197.22869854571303,230.72657455190767,289.0143017873038,356.8834362084849,422.3775641116955,543.9594149650253,687.4860037259143,676.1737833160727,717.0487135662042,713.7255509978947,761.7162169821885,737.1750074172055,666.2928119009894,609.731200738506,601.0203847070833,561.5119459692481,622.7293008991642,636.3431918950594,707.9951867864156,782.2340255394423,882.7089469716997,1065.9489510536196,1235.5880025035508,1320.8076095808456,1402.1501955967246,1631.9372997230748,2001.3292654665224,2167.343883385138,2237.249214390026,2293.3927089512727,2101.2159376056097,2093.197803183337,2162.549183586741,2237.53116106506,2415.532689454772,2660.864261915959,2828.330655617812,2981.121821178136,2935.2835714623425,2833.115045835248,2707.277192423266,2599.9315527857552,2655.2668710036164,2701.112062142894,2646.9683195198904,3138.5389449848312,3209.229633037264,3279.920321089697,3350.61100914213,3421.495370312515,3492.186058364948,3562.8767464173816
1975,107,Upper West Side,cd,100.0,95.38780997602136,104.37177995111124,132.14843480756485,151.4863708238441,192.19165628893927,233.6942093653271,263.98819668273563,300.8473051024789,395.03239592764953,452.24857729921285,529.6898880440853,718.5063267468266,683.9360045819146,617.1086601041804,666.6442709595618,569.8049726348827,517.2728340913632,558.4761944738777,572.3726616071323,622.7675462455983,671.7473501680183,744.6921745175437,909.814778354113,1025.560026317724,1237.5254193758774,1340.354625607118,1542.4401822266475,1626.964783109457,1935.5984793861885,2403.7168029548884,2460.848264716037,2617.9835538877733,2684.2238999761607,2409.005209689454,2522.24401646909,2610.221018010341,2710.810192559824,2990.537515394248,3336.9272111898176,3500.3921649838376,3584.534420256374,3654.653533289,3578.2304447733018,3335.1504632989404,3197.961943873904,3311.203239043929,3566.049560800001,3376.0736281847253,4051.158194772762,4154.202836130541,4257.247477488318,4360.292118846095,4463.619074289784,4566.663715647561,4669.708357005338
1975,108,Upper East Side,cd,100.0,95.86960744428876,97.36906266051535,119.92678818191156,170.24951076277182,219.8096451444564,298.0565383950047,317.83203199144464,364.8017446494295,444.0109396021444,544.7171847072141,616.747700810016,649.6188987674408,669.3256124072851,712.6095055587681,632.6795646157918,623.8517780593993,584.7802604450628,551.3039431960678,491.7674917361138,603.4032367457818,599.7331484313999,658.8071857817183,787.7230042839763,864.3157397175303,1105.4185079354802,1172.0963489146982,1228.999407670291,1175.594852743566,1518.3653372799683,1862.2074434271472,1961.3674370363376,2118.58255676905,2224.0010027502067,1872.158510289156,1941.6995002680424,1992.7122016572084,2023.000981618856,2277.598553980265,2550.2149530222914,2647.954637032963,2591.9228769180227,2678.4382237000023,2530.765887827474,2601.662139226265,2371.319896005615,2471.9469446586063,2556.0442591028104,2374.481346938124,2881.129909559396,2945.1537674048736,3009.1776252503505,3073.201483095828,3137.4007487710182,3201.4246066164947,3265.4484644619715
1975,109,Morningside Heights/Hamilton,cd,100.0,118.40227797227234,156.98191654238235,119.08527348442828,182.2168455457018,183.2261296902832,209.91689324494268,195.4221425133765,296.6055979168096,376.5019067268845,459.9502878810911,658.5043333871635,761.3806284406473,838.5549016284932,1128.2035026660906,993.966076045398,796.0078696622322,853.9165958527418,830.2319466254719,643.1902227561502,866.8627891485831,762.6996248377318,1086.7132787904868,1305.7098833784112,1450.355031613854,1566.6518256344325,2212.677340779327,2426.742436675176,3123.627343419849,3290.2844456761777,5271.454349574556,5040.911039964258,6058.223808314847,5548.484873889673,4564.559830650389,4375.007738378175,4415.473804649413,5579.77903576032,5667.537696582675,6833.542485984193,8655.635072314055,9209.996797743095,9097.772803184413,9643.320748888904,9279.729463413809,9506.144485838544,8556.6060681946,8308.467160757982,6854.420820087678,8732.374945982241,8942.437656288608,9152.500366594975,9362.563076901342,9573.201301482522,9783.264011788886,9993.326722095251
1975,110,Central Harlem,cd,100.0,98.7462794161386,77.91668165276275,118.318349801758,96.99456932210234,111.08572663861229,147.30316613939527,182.04205316114545,204.82615475839515,268.19764885949604,351.1776273358637,381.0295169185276,428.3955696000536,616.097347043996,793.730769854666,545.3794296971676,490.91937933751046,817.919204824632,505.028964347449,841.622132582814,1012.3477915944744,612.5951288792439,714.4989341417978,1048.2929101675484,1041.7429570010063,1245.571906385012,1462.9807072389467,1840.4472338776336,2245.070525985157,2814.367123397519,3358.473082997495,3947.085088541049,4756.222064659184,4450.043069516834,3967.535507284737,3803.403487200199,3957.0526891769055,4114.465116417216,4833.566880110105,5455.485324704116,6543.364398957372,7752.164344357442,7195.479908168345,7694.479649945341,6918.7763744642525,7082.687896738881,6758.23239131566,6864.018385919212,6546.181943025979,7976.709361590944,8212.907547772991,8449.105733955037,8685.303920137083,8922.149224637436,9158.34741081948,9394.545597001526
1975,111,East Harlem,cd,100.0,42.70504690527403,85.20014143747099,67.59145206908667,55.503924243817046,101.8650796066244,86.69560603544562,119.21365941375537,158.12262751505065,176.1893537901474,271.42020230279223,317.9194868052372,405.8395613924486,543.2437192813761,744.0619358999958,500.7953960374217,582.0522073506914,386.6537620591761,391.33763775337167,399.8307016238106,340.37315048119365,302.77860445891866,701.3521680362016,523.4712358606541,694.0532490389278,1023.7012095362676,1238.7045776481586,1322.2299173057677,1696.4811486240858,1930.973689530816,2689.179438355207,3167.740094948697,3153.1726941459865,3329.430682745687,2920.190040987611,2986.65664936974,3007.183304356557,2996.9498746420536,3374.188471924577,3916.881654366135,4347.381756670463,4613.818621739396,4475.849690454711,4713.336244599121,4545.111095997925,3684.3663555603625,4044.2576525328186,4376.772177956164,4240.906592445778,4613.155582533499,4723.088083041491,4833.020583549482,4942.9530840574735,5053.186769498364,5163.119270006355,5273.051770514346
1975,112,Washington Heights/Inwood,cd,100.0,94.90832310195309,103.90545193221044,120.9083299476227,120.38994844940798,122.34477562155188,153.50081238894148,188.08718857856337,196.4282446485809,253.95911045916367,351.0939597284707,460.7906958643396,544.8288043735776,823.0945508086961,715.6913076716072,827.3178855272258,571.8607506334594,532.4473167981572,489.6558195381121,471.15848803182985,614.932298153209,561.1757963292761,647.0050184409362,574.789736150846,895.4666361168474,1050.7107346966366,1217.5377953581658,1194.5396818258248,1824.219526809997,2346.9759047505745,2930.974784553799,3295.03103448789,3531.0950610888226,3285.531347866304,2635.330483429885,2378.857722972788,2589.626575070639,2824.881446155596,3405.2368844964403,4168.097287108961,4816.036669404612,5883.70360943586,5773.645755005353,5394.928993517343,5128.850807266972,4951.815010279001,5114.462321784338,5187.380742236006,3970.988376452418,5089.579462430651,5210.495036248713,5331.410610066775,5452.326183884837,5573.573033247607,5694.488607065669,5815.404180883731
1975,201,Mott Haven/Melrose,cd,100.0,151.78716302378217,113.2564843561222,91.31548955334348,183.06624004490416,129.01520248827126,140.11719262033887,161.5514893533741,156.84730963606873,138.2588450110506,220.0274402825796,270.8024489800482,368.1714725108381,386.1883890750404,667.4546487616337,472.2926488179769,655.2656028554771,709.7788522859531,701.544756466055,1102.88098831199,742.5365271682772,768.3905581590867,732.9400332385244,707.3253422364436,861.5302637414221,806.94969670885,1101.830463245393,1234.7608985381978,1602.2937351199218,1734.6154049247016,2020.605348898236,2317.1713593191253,2428.835816218047,2426.340190658432,2051.985680229847,1699.1888380339915,2329.324557399409,1687.139287422242,1619.270422615709,1936.093599093907,2277.8968935662087,3021.9761656619467,3189.858241537844,3172.5284669389266,3411.012864285244,3631.292279550429,3670.2729152242414,3434.7543469617376,3944.765620103869,3516.734556295777,3603.292575801582,3689.8505953073854,3776.4086148131896,3863.2037795779142,3949.7617990837193,4036.3198185895217
1975,202,Hunts Point/Longwood,cd,100.0,86.7019885164854,137.5475090214779,165.72695562863024,138.34667003407378,132.27339614499965,138.5269225235442,247.7847746524594,154.7189738988385,139.2997061011642,201.97385306074543,215.07339023788944,302.29916225838707,427.4878647997064,527.9766046914406,623.9608984338215,687.6239482223692,432.6669611147617,840.4678474843923,786.9924457795966,626.8011660283079,682.8412826685363,586.2070264304135,726.4815237832618,826.5441020138812,940.0717267972252,951.8804430260008,1075.2269387718366,1486.6682948717494,1491.9382885908522,1657.4871459219942,1894.136066396493,2289.6126484712267,1712.2335250531755,2054.692966650534,1263.7342353251163,1946.92576345374,999.78888311557,1244.668949439338,1513.580717751552,1829.1650270338585,1820.368530030477,2363.2090873288616,2515.627139170604,2800.771022585963,2281.438631669922,2954.040831592881,3419.764969055996,2671.9753227448905,2645.825796431414,2704.2944609983,2762.7631255651854,2821.231790132071,2879.8606428210583,2938.329307387944,2996.7979719548293
